sale_time;store_id;product_id;quantity;unit_price;total_amount
2024-03-01 11:49:00;Store001;PROD_00005;1;6421.68;6421.68
2024-03-01 13:02:00;Store001;PROD_00061;3;7035.57;21106.71
2024-03-01 17:32:00;Store001;PROD_00021;2;1221.16;2442.32
2024-03-01 11:43:00;Store001;PROD_00040;5;2508.11;12540.55
2024-03-01 18:14:00;Store001;PROD_00009;4;3928.15;15712.6
2024-03-01 14:32:00;Store001;PROD_00061;5;6195.13;30975.65
2024-03-01 16:13:00;Store001;PROD_00035;1;7487.61;7487.61
2024-03-01 12:34:00;Store001;PROD_00051;4;7427.34;29709.36
2024-03-01 15:28:00;Store001;PROD_00059;1;5117.18;5117.18
2024-03-01 16:56:00;Store001;PROD_00081;2;3400.64;6801.28
2024-03-01 15:59:00;Store001;PROD_00061;2;4232.59;8465.18
2024-03-01 09:12:00;Store001;PROD_00053;4;6624.58;26498.32
2024-03-01 18:36:00;Store002;PROD_00033;4;5598.99;22395.96
2024-03-01 09:05:00;Store002;PROD_00024;2;7436.45;14872.9
2024-03-01 16:33:00;Store002;PROD_00019;2;1597.76;3195.52
2024-03-01 18:17:00;Store002;PROD_00079;4;7024.1;28096.4
2024-03-01 17:14:00;Store002;PROD_00040;1;3345.16;3345.16
2024-03-01 15:09:00;Store002;PROD_00080;3;5118.58;15355.74
2024-03-01 15:19:00;Store002;PROD_00040;1;2143.18;2143.18
2024-03-01 16:50:00;Store002;PROD_00063;4;7003.37;28013.48
2024-03-01 13:21:00;Store002;PROD_00073;5;2175.59;10877.95
2024-03-01 17:34:00;Store002;PROD_00030;4;3938.17;15752.68
2024-03-01 20:00:00;Store002;PROD_00070;5;6193.85;30969.25
2024-03-01 17:58:00;Store002;PROD_00091;1;4458.06;4458.06
2024-03-01 12:10:00;Store002;PROD_00003;4;4548.33;18193.32
2024-03-01 13:18:00;Store002;PROD_00093;5;5776.59;28882.95
2024-03-01 10:30:00;Store002;PROD_00046;3;7210.62;21631.86
2024-03-01 14:53:00;Store002;PROD_00091;2;4565.37;9130.74
2024-03-01 10:40:00;Store002;PROD_00024;3;2513.29;7539.87
2024-03-01 14:01:00;Store002;PROD_00004;2;523.28;1046.56
2024-03-01 18:44:00;Store002;PROD_00060;2;7261.95;14523.9
2024-03-01 16:55:00;Store002;PROD_00053;1;5016.75;5016.75
2024-03-01 16:33:00;Store002;PROD_00061;1;7160.29;7160.29
2024-03-01 12:08:00;Store002;PROD_00015;3;6580.51;19741.53
2024-03-01 17:49:00;Store002;PROD_00027;4;1680.42;6721.68
2024-03-01 12:45:00;Store002;PROD_00080;2;3905.18;7810.36
2024-03-01 14:33:00;Store002;PROD_00095;4;3570.88;14283.52
2024-03-01 13:14:00;Store002;PROD_00081;4;315.81;1263.24
2024-03-01 17:43:00;Store002;PROD_00080;5;3976.74;19883.7
2024-03-01 12:25:00;Store002;PROD_00018;5;5192.26;25961.3
2024-03-02 16:46:00;Store001;PROD_00041;1;3335.17;3335.17
2024-03-02 09:44:00;Store001;PROD_00076;3;5399.8;16199.4
2024-03-02 16:04:00;Store001;PROD_00069;5;3950.45;19752.25
2024-03-02 19:42:00;Store001;PROD_00050;5;4866.13;24330.65
2024-03-02 14:04:00;Store001;PROD_00030;1;4452.82;4452.82
2024-03-02 21:17:00;Store001;PROD_00021;5;3136.94;15684.7
2024-03-02 12:49:00;Store001;PROD_00002;4;2008.75;8035.0
2024-03-02 21:51:00;Store001;PROD_00071;4;5588.57;22354.28
2024-03-02 17:24:00;Store001;PROD_00038;4;6308.23;25232.92
2024-03-02 09:57:00;Store001;PROD_00096;4;4181.49;16725.96
2024-03-02 21:06:00;Store001;PROD_00022;4;3508.17;14032.68
2024-03-02 18:16:00;Store001;PROD_00080;1;3613.2;3613.2
2024-03-02 14:54:00;Store001;PROD_00041;5;6705.45;33527.25
2024-03-02 17:08:00;Store002;PROD_00029;5;628.38;3141.9
2024-03-02 20:09:00;Store002;PROD_00062;1;2309.33;2309.33
2024-03-02 10:18:00;Store002;PROD_00083;1;3985.08;3985.08
2024-03-02 21:51:00;Store002;PROD_00047;4;6373.78;25495.12
2024-03-02 12:15:00;Store002;PROD_00027;5;6336.14;31680.7
2024-03-02 19:15:00;Store002;PROD_00015;4;3815.91;15263.64
2024-03-02 18:03:00;Store002;PROD_00005;2;3474.37;6948.74
2024-03-02 19:19:00;Store002;PROD_00083;4;6529.86;26119.44
2024-03-02 20:42:00;Store002;PROD_00075;3;1025.4;3076.2
2024-03-02 18:22:00;Store002;PROD_00012;2;535.16;1070.32
2024-03-02 13:20:00;Store002;PROD_00047;2;7045.22;14090.44
2024-03-02 09:40:00;Store002;PROD_00002;2;2727.71;5455.42
2024-03-02 11:40:00;Store002;PROD_00003;3;6828.79;20486.37
2024-03-02 19:55:00;Store002;PROD_00005;5;1593.64;7968.2
2024-03-02 19:08:00;Store002;PROD_00085;2;3204.58;6409.16
2024-03-02 21:46:00;Store002;PROD_00001;2;547.05;1094.1
2024-03-02 17:54:00;Store002;PROD_00097;2;4755.18;9510.36
2024-03-02 10:53:00;Store002;PROD_00083;4;5932.99;23731.96
2024-03-02 11:46:00;Store002;PROD_00078;3;5878.1;17634.3
2024-03-02 15:06:00;Store002;PROD_00019;3;4899.6;14698.8
2024-03-02 16:39:00;Store002;PROD_00069;1;6357.58;6357.58
2024-03-02 11:12:00;Store002;PROD_00025;1;5183.02;5183.02
2024-03-02 09:52:00;Store002;PROD_00026;1;4114.22;4114.22
2024-03-02 18:38:00;Store002;PROD_00024;3;3109.73;9329.19
2024-03-02 19:05:00;Store002;PROD_00012;3;6802.3;20406.9
2024-03-02 11:46:00;Store002;PROD_00013;3;1692.38;5077.14
2024-03-02 09:32:00;Store002;PROD_00002;3;556.51;1669.53
2024-03-03 15:04:00;Store001;PROD_00060;4;4161.91;16647.64
2024-03-03 10:10:00;Store001;PROD_00089;5;4481.96;22409.8
2024-03-03 12:08:00;Store001;PROD_00029;3;7039.75;21119.25
2024-03-03 13:08:00;Store001;PROD_00085;2;5721.87;11443.74
2024-03-03 12:42:00;Store001;PROD_00085;1;5646.19;5646.19
2024-03-03 19:31:00;Store001;PROD_00067;1;6954.37;6954.37
2024-03-03 11:51:00;Store001;PROD_00015;3;7156.92;21470.76
2024-03-03 16:26:00;Store001;PROD_00047;4;2638.69;10554.76
2024-03-03 09:30:00;Store001;PROD_00055;2;646.56;1293.12
2024-03-03 13:56:00;Store001;PROD_00016;4;1756.53;7026.12
2024-03-03 14:03:00;Store001;PROD_00087;2;621.63;1243.26
2024-03-03 11:05:00;Store001;PROD_00003;4;4935.54;19742.16
2024-03-03 10:54:00;Store001;PROD_00034;1;7361.08;7361.08
2024-03-03 20:24:00;Store001;PROD_00037;3;2629.93;7889.79
2024-03-03 17:11:00;Store001;PROD_00001;1;5169.36;5169.36
2024-03-03 13:48:00;Store001;PROD_00009;2;5931.8;11863.6
2024-03-03 13:22:00;Store001;PROD_00016;4;861.66;3446.64
2024-03-03 18:19:00;Store001;PROD_00053;3;1968.6;5905.8
2024-03-03 16:00:00;Store001;PROD_00080;2;1750.79;3501.58
2024-03-03 17:42:00;Store001;PROD_00061;5;6102.82;30514.1
2024-03-03 12:51:00;Store001;PROD_00024;2;1395.91;2791.82
2024-03-03 20:53:00;Store001;PROD_00032;4;7314.7;29258.8
2024-03-03 16:53:00;Store001;PROD_00004;5;4201.77;21008.85
2024-03-03 14:13:00;Store001;PROD_00039;2;2752.47;5504.94
2024-03-03 16:03:00;Store002;PROD_00016;2;6104.46;12208.92
2024-03-03 14:32:00;Store002;PROD_00069;1;5135.88;5135.88
2024-03-03 10:23:00;Store002;PROD_00048;3;7472.97;22418.91
2024-03-03 13:35:00;Store002;PROD_00074;5;1985.37;9926.85
2024-03-03 09:56:00;Store002;PROD_00097;5;3623.1;18115.5
2024-03-03 12:00:00;Store002;PROD_00098;1;3121.23;3121.23
2024-03-03 17:33:00;Store002;PROD_00004;3;5810.32;17430.96
2024-03-03 21:53:00;Store002;PROD_00009;1;5316.25;5316.25
2024-03-03 11:56:00;Store002;PROD_00009;2;2979.84;5959.68
2024-03-03 09:37:00;Store002;PROD_00086;1;3274.59;3274.59
2024-03-03 10:03:00;Store002;PROD_00091;2;5482.44;10964.88
2024-03-03 21:58:00;Store002;PROD_00050;4;2115.92;8463.68
2024-03-04 20:38:00;Store001;PROD_00061;4;3907.68;15630.72
2024-03-04 12:18:00;Store001;PROD_00074;2;920.17;1840.34
2024-03-04 21:14:00;Store001;PROD_00093;5;7329.51;36647.55
2024-03-04 20:53:00;Store001;PROD_00039;5;1880.17;9400.85
2024-03-04 14:28:00;Store001;PROD_00040;5;367.0;1835.0
2024-03-04 14:28:00;Store001;PROD_00039;4;762.83;3051.32
2024-03-04 16:06:00;Store001;PROD_00041;3;3163.12;9489.36
2024-03-04 17:36:00;Store001;PROD_00089;4;2007.47;8029.88
2024-03-04 11:09:00;Store001;PROD_00092;3;5877.52;17632.56
2024-03-04 18:24:00;Store001;PROD_00030;1;6103.41;6103.41
2024-03-04 19:06:00;Store001;PROD_00042;5;4525.49;22627.45
2024-03-04 15:00:00;Store001;PROD_00076;5;1596.75;7983.75
2024-03-04 19:40:00;Store001;PROD_00021;4;1636.21;6544.84
2024-03-04 12:03:00;Store001;PROD_00077;2;3315.48;6630.96
2024-03-04 09:52:00;Store001;PROD_00037;5;1142.34;5711.7
2024-03-04 09:07:00;Store001;PROD_00045;2;666.58;1333.16
2024-03-04 21:13:00;Store001;PROD_00070;1;522.84;522.84
2024-03-04 19:33:00;Store001;PROD_00079;4;1902.5;7610.0
2024-03-04 12:44:00;Store001;PROD_00081;2;2242.69;4485.38
2024-03-04 16:06:00;Store001;PROD_00044;2;2660.8;5321.6
2024-03-04 18:39:00;Store001;PROD_00078;4;5789.28;23157.12
2024-03-04 12:39:00;Store001;PROD_00008;2;908.13;1816.26
2024-03-04 15:36:00;Store001;PROD_00058;2;6315.93;12631.86
2024-03-04 17:49:00;Store002;PROD_00100;5;2867.24;14336.2
2024-03-04 17:16:00;Store002;PROD_00005;4;1927.23;7708.92
2024-03-04 13:14:00;Store002;PROD_00011;5;300.1;1500.5
2024-03-04 21:43:00;Store002;PROD_00071;3;4763.78;14291.34
2024-03-04 20:13:00;Store002;PROD_00036;4;4697.31;18789.24
2024-03-04 21:59:00;Store002;PROD_00067;4;5350.26;21401.04
2024-03-04 14:43:00;Store002;PROD_00071;5;3632.08;18160.4
2024-03-04 10:21:00;Store002;PROD_00092;3;6940.53;20821.59
2024-03-04 19:08:00;Store002;PROD_00085;4;440.81;1763.24
2024-03-04 20:54:00;Store002;PROD_00048;3;3645.81;10937.43
2024-03-04 19:51:00;Store002;PROD_00021;1;6666.89;6666.89
2024-03-04 09:46:00;Store002;PROD_00042;2;3200.35;6400.7
2024-03-04 17:51:00;Store002;PROD_00068;5;533.62;2668.1
2024-03-05 15:17:00;Store001;PROD_00029;3;6861.47;20584.41
2024-03-05 21:15:00;Store001;PROD_00070;2;383.74;767.48
2024-03-05 17:30:00;Store001;PROD_00063;4;3470.93;13883.72
2024-03-05 10:10:00;Store001;PROD_00074;3;6941.81;20825.43
2024-03-05 13:46:00;Store001;PROD_00010;1;2871.25;2871.25
2024-03-05 19:00:00;Store001;PROD_00079;1;1250.41;1250.41
2024-03-05 16:46:00;Store001;PROD_00008;4;1571.2;6284.8
2024-03-05 15:25:00;Store001;PROD_00023;1;7298.58;7298.58
2024-03-05 15:41:00;Store001;PROD_00099;2;3800.54;7601.08
2024-03-05 13:56:00;Store001;PROD_00036;4;6994.57;27978.28
2024-03-05 18:37:00;Store001;PROD_00098;4;3608.76;14435.04
2024-03-05 14:00:00;Store001;PROD_00059;1;3323.4;3323.4
2024-03-05 12:37:00;Store001;PROD_00020;3;1128.18;3384.54
2024-03-05 19:22:00;Store001;PROD_00087;3;2594.05;7782.15
2024-03-05 19:28:00;Store001;PROD_00044;4;3147.03;12588.12
2024-03-05 19:32:00;Store001;PROD_00016;1;1345.79;1345.79
2024-03-05 09:02:00;Store001;PROD_00046;4;6322.22;25288.88
2024-03-05 19:20:00;Store001;PROD_00045;2;507.49;1014.98
2024-03-05 19:16:00;Store001;PROD_00003;4;6016.81;24067.24
2024-03-05 13:12:00;Store001;PROD_00081;5;1649.11;8245.55
2024-03-05 16:10:00;Store001;PROD_00085;4;6456.14;25824.56
2024-03-05 16:41:00;Store001;PROD_00047;5;5425.21;27126.05
2024-03-05 12:22:00;Store001;PROD_00080;2;2252.21;4504.42
2024-03-05 12:35:00;Store001;PROD_00039;3;4223.01;12669.03
2024-03-05 11:15:00;Store001;PROD_00089;2;4154.0;8308.0
2024-03-05 09:06:00;Store001;PROD_00096;4;609.44;2437.76
2024-03-05 15:12:00;Store001;PROD_00063;5;7061.0;35305.0
2024-03-05 20:51:00;Store001;PROD_00016;5;3319.13;16595.65
2024-03-05 21:15:00;Store002;PROD_00070;2;4443.56;8887.12
2024-03-05 20:53:00;Store002;PROD_00094;3;5803.66;17410.98
2024-03-05 12:17:00;Store002;PROD_00081;3;7068.44;21205.32
