Дата;Товар;Количество;Цена;Сумма
2023-01-23;Товар А;7;229.91;1609.37
2023-01-13;Товар Г;6;187.34;1124.04
2023-01-18;Товар А;1;764.21;764.21
2023-01-24;Товар В;4;476.35;1905.4
2023-01-20;Товар Г;4;277.48;1109.92
2023-01-21;Товар В;10;876.18;8761.8
2023-01-18;Товар Д;4;427.45;1709.8
2023-01-25;Товар Б;5;727.53;3637.65
2023-01-15;Товар Б;2;417.28;834.56
2023-01-06;Товар Б;9;1130.45;10174.05
2023-01-04;Товар Г;1;970.36;970.36
2023-01-14;Товар В;9;356.21;3205.89
2023-01-09;Товар Б;3;655.75;1967.25
2023-01-19;Товар В;1;557.07;557.07
2023-01-11;Товар Г;3;799.76;2399.28
2023-01-02;Товар Б;6;249.02;1494.12
2023-01-20;Товар А;10;568.51;5685.1
2023-01-27;Товар В;8;684.86;5478.88
2023-01-26;Товар Д;9;167.44;1506.96
2023-01-12;Товар А;6;223.27;1339.62
2023-01-17;Товар Б;3;145.53;436.59
2023-01-17;Товар А;9;352.59;3173.31
2023-01-06;Товар Г;9;577.54;5197.86
2023-01-18;Товар Г;2;855.07;1710.14
2023-01-12;Товар Б;4;418.66;1674.64
2023-01-22;Товар В;6;910.79;5464.74
2023-01-12;Товар В;4;202.34;809.36
2023-01-25;Товар Д;9;172.14;1549.26
2023-01-16;Товар Д;1;392.38;392.38
2023-01-04;Товар В;8;488.84;3910.72
2023-01-08;Товар Д;10;396.89;3968.9
2023-01-08;Товар А;6;143.49;860.94
2023-01-13;Товар А;7;385.85;2700.95
2023-01-09;Товар Д;5;210.14;1050.7
2023-01-01;Товар Д;6;563.88;3383.28
2023-01-17;Товар Д;8;484.59;3876.72
2023-01-16;Товар А;5;252.16;1260.8
2023-01-21;Товар Б;6;312.02;1872.12
2023-01-17;Товар А;2;237.55;475.1
2023-01-06;Товар Д;9;390.98;3518.82
2023-01-01;Товар А;4;650.39;2601.56
2023-01-22;Товар Б;7;246.44;1725.08
2023-01-27;Товар А;4;519.06;2076.24
2023-01-18;Товар Г;2;309.47;618.94
2023-01-24;Товар Б;1;271.39;271.39
2023-01-15;Товар В;1;382.41;382.41
2023-01-03;Товар А;1;240.42;240.42
2023-01-06;Товар В;9;305.87;2752.83
2023-01-03;Товар Д;4;221.64;886.56
2023-01-09;Товар Г;7;1077.46;7542.22
2023-01-15;Товар Г;7;410.61;2874.27
2023-01-11;Товар А;7;284.33;1990.31
2023-01-22;Товар А;9;448.99;4040.91
2023-01-01;Товар Д;2;381.4;762.8
2023-01-25;Товар Д;1;361.23;361.23
2023-01-23;Товар А;6;548.44;3290.64
2023-01-17;Товар А;5;589.19;2945.95
2023-01-26;Товар В;10;309.44;3094.4
2023-01-03;Товар В;8;302.5;2420.0
2023-01-13;Товар Г;1;351.59;351.59
2023-01-16;Товар Б;9;127.62;1148.58
2023-01-08;Товар Б;7;189.12;1323.84
2023-01-26;Товар Д;5;799.06;3995.3
2023-01-21;Товар Б;5;918.26;4591.3
2023-01-22;Товар В;1;356.2;356.2
2023-01-18;Товар Д;3;538.23;1614.69
2023-01-04;Товар А;1;471.36;471.36
2023-01-19;Товар Д;7;1880.78;13165.46
2023-01-18;Товар Д;2;706.12;1412.24
2023-01-10;Товар Б;6;378.43;2270.58
2023-01-07;Товар Г;9;250.19;2251.71
2023-01-05;Товар Б;3;180.69;542.07
2023-01-08;Товар Д;5;446.63;2233.15
2023-01-07;Товар А;3;276.39;829.17
2023-01-22;Товар Д;1;198.12;198.12
2023-01-28;Товар Д;8;291.99;2335.92
2023-01-21;Товар Д;2;234.92;469.84
2023-01-10;Товар А;5;937.83;4689.15
2023-01-04;Товар Б;10;626.92;6269.2
2023-01-16;Товар В;6;401.82;2410.92
2023-01-05;Товар Б;2;845.54;1691.08
2023-01-10;Товар Д;2;419.34;838.68
2023-01-07;Товар В;8;262.27;2098.16
2023-01-15;Товар В;10;863.99;8639.9
2023-01-22;Товар В;10;528.19;5281.9
2023-01-05;Товар Д;10;240.18;2401.8
2023-01-12;Товар В;7;366.81;2567.67
2023-01-06;Товар А;6;260.39;1562.34
2023-01-08;Товар Б;7;202.07;1414.49
2023-01-09;Товар В;3;641.04;1923.12
2023-01-22;Товар В;8;1048.07;8384.56
2023-01-15;Товар Г;6;200.48;1202.88
2023-01-25;Товар В;8;534.58;4276.64
2023-01-18;Товар А;3;291.39;874.17
2023-01-21;Товар Д;2;316.22;632.44
2023-01-27;Товар В;3;300.01;900.03
2023-01-18;Товар Б;5;261.91;1309.55
2023-01-24;Товар А;2;413.34;826.68
